Date,미슐랭,블루리본,캐치테이블,테이블링,흑백요리사
2025-01-01,1.31148,3.43048,4.35037,0.71773,3.9423
2025-02-01,1.60608,3.002,4.43748,0.69984,3.01456
2025-03-01,1.57563,3.31387,4.54499,0.70063,3.21734
2025-04-01,0.99679,2.79671,4.51172,0.59751,3.36284
2025-05-01,1.13585,3.82051,4.69363,0.79072,3.63797
2025-06-01,0.96289,3.08958,4.21587,0.66908,2.1959
2025-07-01,1.00747,3.27086,5.00612,0.78789,2.63788
2025-08-01,1.0285,3.54819,5.70957,0.92397,2.5335
2025-09-01,0.93417,2.32758,4.75735,0.73955,3.56624
2025-10-01,0.90294,2.5335,4.94867,0.80751,5.20654
2025-11-01,0.84016,2.3877,5.56549,0.67206,9.34457
2025-12-01,1.88655,2.44702,7.5266,0.84361,100.0
