card_id,card_name,issuer,dining_benefit_count,dining_discount_rate_mean,dining_benefit_score
666,올바른 FLEX 카드,NH농협카드,2,50.0,100.0
51,삼성카드 taptap O,삼성카드,1,50.0,50.0
2657,JADE Classic,하나카드,1,50.0,50.0
2886,삼성 iD SELECT ON 카드,삼성카드,3,6.666666666666667,20.0
106,굿데이카드,KB국민카드,1,10.0,10.0
2441,KB국민 My WE:SH 카드,KB국민카드,1,10.0,10.0
2591,BC 바로 On&Off 카드,BC 바로카드,1,10.0,10.0
2687,카드의정석 SHOPPING+,우리카드,1,10.0,10.0
39,신한카드 Deep Oil,신한카드,1,5.0,5.0
2669,현대카드 M,현대카드,1,5.0,5.0
2759,신한카드 처음(ANNIVERSE),신한카드,1,5.0,5.0
769,가온올림카드(실속형),KB국민카드,1,0.5,0.5
1909,THE 1 (스카이패스),삼성카드,1,,0.0
