keyword,tfidf
20대,0.04497903671409453
소비,0.02634341829526808
신용카드,0.023868109171456584
재테크,0.021466452295035438
직장인,0.014959604242390616
소,0.014437309991197626
20대에,0.014217437997649839
하는,0.013949015394551768
사회초년생,0.013564540378890417
추천,0.012022985644352696
돈,0.011822032075940401
소비생활,0.011688532679461197
소비습관,0.011406098944608676
shorts,0.010962054625424635
요즘,0.010667366325422097
대학생,0.010645929383652735
소비생활 팁,0.010623955728786268
팁,0.010623955728786268
30대,0.01058460634894634
20대 소비,0.010450572449907356
안녕하세요,0.010032738491529462
00,0.010029175409250825
플렉스,0.009426559191283882
https,0.009238547016859349
20대 소비습관,0.008757494471865397
함께,0.008691438753716326
법,0.00849143849863308
습관,0.008471852295951897
팁 20대,0.008150975720640354
싶은,0.007902287706076446
20대 30대,0.00788440198484374
1억,0.007824989340198145
위한,0.007415609378656797
vs,0.007337444508791701
소비지식,0.007218654995598813
함,0.007218654995598813
소 함,0.007218654995598813
생애주기별,0.007218654995598813
소 소,0.007218654995598813
생애주기별 소비지식,0.007218654995598813
1,0.007194648719819543
때,0.00701816883572106
신용카드 추천,0.00701016569730803
20대가,0.006989939088042099
com,0.00692361440788564
소비패밀리즈의 소비생활,0.006919393722753186
소비패밀리즈의,0.006919393722753186
저축,0.006847423866715205
가장,0.006759026886696537
모은,0.006576394346323761
